Country,Country_Code,Pesticide_Type,Year,Unit,Pesticide_Use,Pesticide_Use_scaled
Albania,3,Pesticides (total),2015,t,538.0,-0.10018874688996054
Albania,3,Pesticides (total),2015,kg/ha,0.77,-0.10598163888187494
Albania,3,Pesticides (total),2015,kg/cap,0.19,-0.10598789295807193
Albania,3,Pesticides (total),2015,g/Int$,0.26,-0.10598713815577229
Albania,3,Pesticides (total),2016,t,584.0,-0.09969273395019906
Albania,3,Pesticides (total),2016,kg/ha,0.83,-0.10598099190847525
Albania,3,Pesticides (total),2016,kg/cap,0.2,-0.10598778512917198
Albania,3,Pesticides (total),2016,g/Int$,0.27,-0.10598703032687234
Albania,3,Pesticides (total),2017,t,615.0,-0.0993584643603598
Albania,3,Pesticides (total),2017,kg/ha,0.88,-0.10598045276397551
Albania,3,Pesticides (total),2017,kg/cap,0.21,-0.10598767730027205
Albania,3,Pesticides (total),2017,g/Int$,0.29,-0.10598681466907243
Albania,3,Pesticides (total),2018,t,442.0,-0.10122390432946278
Albania,3,Pesticides (total),2018,kg/ha,0.64,-0.10598304065757427
Albania,3,Pesticides (total),2018,kg/cap,0.15,-0.10598832427367173
Albania,3,Pesticides (total),2018,g/Int$,0.2,-0.10598778512917198
Albania,3,Pesticides (total),2019,t,746.0,-0.09794590577103905
Albania,3,Pesticides (total),2019,kg/ha,1.07,-0.1059784040148765
Albania,3,Pesticides (total),2019,kg/cap,0.26,-0.10598713815577229
Albania,3,Pesticides (total),2019,g/Int$,0.35,-0.10598616769567276
Albania,3,Pesticides (total),2020,t,402.0,-0.10165521992925537
Albania,3,Pesticides (total),2020,kg/ha,0.58,-0.10598368763097396
Albania,3,Pesticides (total),2020,kg/cap,0.14,-0.10598843210257168
Albania,3,Pesticides (total),2020,g/Int$,0.18,-0.10598800078697188
Albania,3,Pesticides (total),2021,t,433.0,-0.10132095033941611
Albania,3,Pesticides (total),2021,kg/ha,0.63,-0.10598314848647422
Albania,3,Pesticides (total),2021,kg/cap,0.15,-0.10598832427367173
Albania,3,Pesticides (total),2021,g/Int$,0.2,-0.10598778512917198
Albania,3,Pesticides (total),2022,t,296.0,-0.10279820626870574
Albania,3,Pesticides (total),2022,kg/ha,0.43,-0.10598530506447318
Albania,3,Pesticides (total),2022,kg/cap,0.1,-0.10598886341817146
Albania,3,Pesticides (total),2022,g/Int$,0.14,-0.10598843210257168
Albania,3,Pesticides (total),2023,t,296.0,-0.10279820626870574
Albania,3,Pesticides (total),2023,kg/ha,0.44,-0.10598519723557322
Albania,3,Pesticides (total),2023,kg/cap,0.11,-0.10598875558927151
Albania,3,Pesticides (total),2023,g/Int$,0.14,-0.10598843210257168
Albania,3,Insecticides,2015,t,155.0,-0.10431859375797464
Albania,3,Insecticides,2016,t,190.0,-0.10394119260815612
Albania,3,Insecticides,2017,t,202.0,-0.10381179792821835
Albania,3,Insecticides,2018,t,129.0,-0.10459894889783983
Albania,3,Insecticides,2019,t,151.0,-0.1043617253179539
Albania,3,Insecticides,2020,t,45.0,-0.10550471165740427
Albania,3,Insecticides,2021,t,45.0,-0.10550471165740427
Albania,3,Insecticides,2022,t,37.0,-0.10559097477736279
Albania,3,Insecticides,2023,t,37.0,-0.10559097477736279
Albania,3,Herbicides,2015,t,68.0,-0.10525670518752353
Albania,3,Herbicides,2016,t,34.0,-0.10562332344734723
Albania,3,Herbicides,2017,t,56.0,-0.10538609986746131
Albania,3,Herbicides,2018,t,66.0,-0.10527827096751316
Albania,3,Herbicides,2019,t,117.0,-0.1047283435777776
Albania,3,Herbicides,2020,t,44.0,-0.10551549454739909
Albania,3,Herbicides,2021,t,40.0,-0.10555862610737834
